"","mon","yr","AWND","SNOW","SNWD","TAVG","TMAX","TMIN","WSF2","WSF5","CO","SO","NO","PM25"
"15",3,2015,6.21258064516129,0,1.2,50.6774193548387,62.741935483871,39.8064516129032,17.4258064516129,23.4838709677419,0.326666666666667,0.938709677419355,15.7806451612903,10.1806451612903
"16",4,2015,6.36066666666667,0,0,61.8333333333333,72.4666666666667,50.6,17.62,23.9066666666667,0.342307692307692,0.72,16.1413793103448,9.05714285714286
"17",5,2015,5.90322580645161,0,0,70.5483870967742,82.2903225806452,59.8387096774194,15.5645161290323,20.9258064516129,0.320689655172414,0.633333333333333,11.4064516129032,8.26774193548387
"18",6,2015,5.76433333333333,0,0,78.7333333333333,90.1333333333333,68.4,16.6833333333333,23.0366666666667,0.256,0.569230769230769,9.21111111111111,10.7
"19",7,2015,5.33967741935484,0,0,79.4838709677419,89.2258064516129,70.7096774193548,15.9548387096774,22.2645161290323,0.293548387096774,0.396551724137931,8.27096774193548,13.385
"20",8,2015,4.19225806451613,0,0,77.2258064516129,88.258064516129,67.6129032258064,13.9161290322581,19.9225806451613,0.29,0.458064516129032,10.5064516129032,11.7148148148148
"21",9,2015,5.175,0,0,72.7,82.7666666666667,64.3,14.9966666666667,20.9133333333333,0.3,0.573333333333333,9.98965517241379,9.94333333333333
"22",10,2015,5.94516129032258,0,0,59.741935483871,71,49.8387096774194,14.341935483871,20.3096774193548,0.445161290322581,0.925806451612903,15.8931034482759,10.651724137931
"23",11,2015,3.99666666666667,0,0,55.0666666666667,65.4666666666667,45.4,12.5633333333333,17.31,0.593333333333333,1.11333333333333,18.7533333333333,11.3071428571429
"24",12,2015,5.04322580645161,0,0,55.6451612903226,65.0645161290323,47.0645161290323,14.5741935483871,19.9903225806452,0.553571428571429,1.07096774193548,17.9322580645161,11.3518518518519
"25",1,2016,5.44096774193548,1.2,3.6,39.0967741935484,48.1612903225806,30.3870967741935,15.4096774193548,21.7733333333333,0.458620689655172,1.23225806451613,19.0935483870968,11.1
"26",2,2016,6.88758620689655,0.2,0,44,53.4827586206897,34.1034482758621,18.2,25.3965517241379,0.324137931034483,0.820689655172414,17.6785714285714,10.9413793103448
"27",3,2016,7.22322580645161,0,0,58.1935483870968,69.4193548387097,47.2903225806452,18.9193548387097,25.8451612903226,0.351724137931034,0.603571428571429,19.8866666666667,10.0181818181818
"28",4,2016,8.053,0,0,60.6666666666667,72.2,49.1,19.0333333333333,26.1666666666667,0.254166666666667,0.473333333333333,15.0133333333333,6.01333333333333
"29",5,2016,4.85516129032258,0,0,67.0645161290323,77.1290322580645,57.9677419354839,14.8451612903226,20.5387096774194,0.271428571428571,0.280645161290323,12.3666666666667,6.49354838709677
"30",6,2016,5.324,0,0,76.4333333333333,87.3666666666667,65.9333333333333,17.8266666666667,24.93,0.29,0.503333333333333,10.3321428571429,7.30666666666667
"31",7,2016,5.32548387096774,0,0,81,91.9032258064516,72.0322580645161,16.2161290322581,22.2483870967742,0.241379310344828,0.329032258064516,9.08064516129032,10.4935483870968
